win,lose,probability
Utah Jazz,Chicago Bulls,0.72
Minnesota Timberwolves,Golden State Warriors,0.65
Dallas Mavericks,Brooklyn Nets,0.62
Oklahoma City Thunder,San Antonio Spurs,0.77
Memphis Grizzlies,Sacramento Kings,0.62
Los Angeles Clippers,Detroit Pistons,0.79
Boston Celtics,Atlanta Hawks,0.87
Miami Heat,Orlando Magic,0.75
Portland Trail Blazers,Washington Wizards,0.53
Houston Rockets,Philadelphia 76ers,0.6
Phoenix Suns,New York Knicks,0.65
Los Angeles Lakers,New Orleans Pelicans,0.79
Los Angeles Clippers,Memphis Grizzlies,0.62
Toronto Raptors,Brooklyn Nets,0.78
Utah Jazz,Orlando Magic,0.76
Indiana Pacers,Atlanta Hawks,0.78
Oklahoma City Thunder,Cleveland Cavaliers,0.75
Boston Celtics,Chicago Bulls,0.75
Denver Nuggets,Washington Wizards,0.73
Dallas Mavericks,Charlotte Hornets,0.78
Detroit Pistons,Golden State Warriors,0.53
Milwaukee Bucks,San Antonio Spurs,0.73
New Orleans Pelicans,Sacramento Kings,0.55
Los Angeles Clippers,New York Knicks,0.85
Miami Heat,Portland Trail Blazers,0.69
Cleveland Cavaliers,Minnesota Timberwolves,0.52
Memphis Grizzlies,Phoenix Suns,0.66
Los Angeles Lakers,Detroit Pistons,0.87
Indiana Pacers,Charlotte Hornets,0.83
Brooklyn Nets,Orlando Magic,0.63
Oklahoma City Thunder,Philadelphia 76ers,0.51
Boston Celtics,Washington Wizards,0.78
Denver Nuggets,Atlanta Hawks,0.74
Utah Jazz,New Orleans Pelicans,0.7
Dallas Mavericks,Chicago Bulls,0.86
Milwaukee Bucks,San Antonio Spurs,0.95
Sacramento Kings,Golden State Warriors,0.74
Cleveland Cavaliers,Detroit Pistons,0.54
Toronto Raptors,Portland Trail Blazers,0.79
Oklahoma City Thunder,Brooklyn Nets,0.71
Memphis Grizzlies,Minnesota Timberwolves,0.59
Sacramento Kings,Phoenix Suns,0.56
Los Angeles Lakers,New York Knicks,0.91
Boston Celtics,San Antonio Spurs,0.64
Toronto Raptors,Charlotte Hornets,0.86
Miami Heat,Indiana Pacers,0.63
Orlando Magic,Washington Wizards,0.54
Houston Rockets,Atlanta Hawks,0.73
Dallas Mavericks,Denver Nuggets,0.52
New Orleans Pelicans,Chicago Bulls,0.74
Utah Jazz,New York Knicks,0.85
Milwaukee Bucks,Golden State Warriors,0.95
Detroit Pistons,Cleveland Cavaliers,0.64
Boston Celtics,Philadelphia 76ers,0.57
Portland Trail Blazers,Minnesota Timberwolves,0.6
Houston Rockets,Oklahoma City Thunder,0.52
Washington Wizards,Atlanta Hawks,0.7
New Orleans Pelicans,New York Knicks,0.63
Miami Heat,Brooklyn Nets,0.72
Indiana Pacers,Chicago Bulls,0.73
San Antonio Spurs,Memphis Grizzlies,0.58
Orlando Magic,Phoenix Suns,0.66
Utah Jazz,Charlotte Hornets,0.78
Los Angeles Lakers,Dallas Mavericks,0.71
Milwaukee Bucks,Sacramento Kings,0.93
Los Angeles Clippers,Golden State Warriors,0.88
Houston Rockets,Minnesota Timberwolves,0.77
Boston Celtics,New Orleans Pelicans,0.68
Detroit Pistons,Chicago Bulls,0.58
Los Angeles Lakers,Oklahoma City Thunder,0.74
Dallas Mavericks,Philadelphia 76ers,0.59
Denver Nuggets,Cleveland Cavaliers,0.89
Milwaukee Bucks,Portland Trail Blazers,0.92
Miami Heat,New York Knicks,0.79
Utah Jazz,Washington Wizards,0.76
Brooklyn Nets,Atlanta Hawks,0.73
Memphis Grizzlies,Golden State Warriors,0.75
Toronto Raptors,San Antonio Spurs,0.71
Los Angeles Clippers,Denver Nuggets,0.57
Phoenix Suns,Charlotte Hornets,0.54
New Orleans Pelicans,Detroit Pistons,0.68
Philadelphia 76ers,Indiana Pacers,0.53
Boston Celtics,Chicago Bulls,0.86
Oklahoma City Thunder,Minnesota Timberwolves,0.79
Portland Trail Blazers,Charlotte Hornets,0.62
Orlando Magic,Sacramento Kings,0.62
Los Angeles Lakers,Cleveland Cavaliers,0.93
Phoenix Suns,Atlanta Hawks,0.53
